spotify:track:0oTtnnedK0C4unALxVTPhz,Mystery of Love (From the Original Motion Picture “Call Me by Your Name”),Old Current 3,Sufjan Stevens,Mystery of Love (From the Original Motion Picture “Call Me by Your Name”),62,0.273,-16.526,0.038,0.94,0.431,0.109,0.238,132.285,248965
spotify:track:3Q2tKt6gKdn9LUMcHFxNJy,Raging Fire,Old Current 3,Phillip Phillips,Behind The Light (Deluxe),55,0.833,-4.671,0.073,0.00867,0,0.0621,0.449,125.909,234693
spotify:track:2e7bvDiFDBNOp7hCnCWdhY,Ghosts - Remastered,Old Current 3,Kim Brown,Ghosts (Remastered),0,0.192,-12.323,0.0292,0.757,0,0.102,0.234,141.992,202545
spotify:track:06O078Zw6xX8iMh4lpWn01,Dido and Aeneas, Z. 626 / Act III: "When I Am Laid in Earth" Dido's Lamento (Arr. by Mathieu Herzog for Cello and Strings),Old Current 3,Henry Purcell,Voice Of Hope,48,0.0604,-23.96,0.0485,0.957,0.902,0.0889,0.034,76.509,228181
spotify:track:1p50TN8eyDm3mJHZVgcTxm,Au Revoir,Old Current 3,OneRepublic,Native,40,0.518,-9.427,0.0286,0.905,0.298,0.121,0.133,117.059,290480
spotify:track:7vbCfkJf89i4s745KbELgr,20:17,Old Current 3,Ólafur Arnalds,Trance Frendz,58,0.0224,-29.089,0.039,0.987,0.866,0.111,0.169,107.849,354989
spotify:track:2LvSBTryN12uVbpk7DiVvf,Novella,Old Current 3,Jordan Critz,Novella,28,0.154,-16.361,0.0354,0.949,0.979,0.0962,0.0625,116.028,211960
spotify:track:6q6706YiswU2UH0bvoxhnQ,Little Did I Know (Acoustic),Old Current 3,Landon Austin,Little Did I Know (Acoustic),13,0.362,-7.636,0.0313,0.431,2.02e-06,0.478,0.228,139.666,190143
spotify:track:3xRgYyyussMdiAPu7VyjTE,Opus 28 - Silfur Version,Old Current 3,Dustin O'Halloran,Opus 28 (Silfur Version),26,0.145,-21.776,0.0375,0.991,0.913,0.106,0.0376,145.432,223693
spotify:track:0APiN9bbtjfKVaPqf5yggs,Stars,Old Current 3,Ēriks Ešenvalds,Lux,27,0.0607,-23.65,0.0509,0.983,0.963,0.141,0.0377,63.851,244387
spotify:track:4aWpPyXgZsRr2winLc0mjp,Cathedral,Old Current 3,MJ Cole,Cathedral,44,0.186,-13.635,0.0354,0.699,0.883,0.0979,0.0383,141.004,340133
spotify:track:5BuDayoi5YIpQT0SGM1YFn,Blueprint For A Slow Machine,Old Current 3,65daysofstatic,No Man's Sky: Music For An Infinite Universe,0,0.523,-9.967,0.0471,0.0496,0.814,0.26,0.0696,128.051,353840
spotify:track:6lVKZVN9e1JKd5dSCfnAH7,Coda,Old Current 2,Dustin O'Halloran,Breathe In (Original Motion Picture Soundtrack),0,0.253,-14.199,0.0473,0.851,0.931,0.112,0.0399,140.165,118307
spotify:track:62v8pMCmY4QYodGLGpdAeN,A Symphonie Pathetique,Old Current 2,A Winged Victory for the Sullen,Breathe In (Original Motion Picture Soundtrack),0,0.0353,-24.557,0.0381,0.741,0.86,0.0967,0.0342,66.944,538000
spotify:track:3Lg7bZ5KLOh9xmSRwWV7e1,Steep Hills of Vicodin Tears,Old Current 2,A Winged Victory for the Sullen,Breathe In (Original Motion Picture Soundtrack),0,0.0836,-21.099,0.0404,0.763,0.861,0.1,0.0521,68.501,264760
spotify:track:4Zwo8D1koSzLJCYd5NlX81,Outer Sunset,Old Current 2,Tycho,Simulcast,41,0.695,-11.146,0.0449,0.514,0.916,0.0933,0.693,96.994,250384
spotify:track:24dbg7fSLELaEeSGCcPYld,Isabel,Old Current 2,Alexandre Desplat,The Light Between Oceans (Original Motion Picture Soundtrack),20,0.0322,-23.305,0.152,0.996,0.961,0.124,0.887,126.942,87640
spotify:track:6Fvu3D26cOREo4JEt3qDAP,To Resent,Old Current 2,Alexandre Desplat,The Light Between Oceans (Original Motion Picture Soundtrack),11,0.0534,-23.307,0.036,0.81,0.927,0.108,0.0362,81.916,275200
spotify:track:1wQJLHftuLDlL8TsO2Wsjd,Lucy Grace,Old Current 2,Alexandre Desplat,The Light Between Oceans (Original Motion Picture Soundtrack),10,0.0531,-22.727,0.0366,0.979,0.929,0.121,0.0543,89.941,213533
spotify:track:30QPzARblB8Wv4aLzx8HXf,Chennai,Old Current 2,Solomon Grey,Chennai,0,0.262,-13.829,0.0406,0.163,0.898,0.0819,0.0322,135.082,212058
spotify:track:71oPcxo65sV4MjI4gZoTHx,Do Or Die,Old Current 2,Neon Feather,Do Or Die,0,0.722,-6.54,0.0339,0.0187,0.0185,0.0723,0.245,90.999,234790
spotify:track:0shptsB4Efvi4T5zNKjeuO,Scars (Come With Livin') - Neon Feather Remix,Old Current 2,TobyMac,The St. Nemele Collab Sessions,33,0.656,-6.069,0.0326,0.134,0.000109,0.151,0.343,140.039,243240
spotify:track:1C4p7axHOmDCB5mZIYhuqT,Closer,Old Current 2,Bethel Music,For the Sake of the World,0,0.559,-8.321,0.0305,0.0598,0.000159,0.102,0.0821,140.103,413573
spotify:track:367yPvrZCiD6vHvOZqLO8V,Be Still,Old Current 2,Bethel Music,Tides Live,0,0.568,-8.323,0.0372,0.127,0,0.0666,0.186,141.896,398421
spotify:track:68FklWGUQj6uI1bwCBKynh,Attente,Old Current 2,Beauvois,Attente,45,0.411,-15.101,0.0553,0.661,0.908,0.11,0.0794,100.142,284421
spotify:track:0bYAE37VHTj7cex4fEuwy3,Windows,Old Current 2,Abby Gundersen,Aurora,22,0.079,-18.985,0.0329,0.994,0.869,0.163,0.0792,74.027,191173
spotify:track:4QqJzSUAtJgZ3AiCjDc89y,Out of Hiding,Old Current 2,Steffany Gretzinger,The Undoing,0,0.32,-10.101,0.0337,0.797,0,0.116,0.23,106.551,268493
spotify:track:2wBjgUXl43nSK7k3jVrSac,Defeat,Old Current 2,Hiatus,Defeat,32,0.633,-11.02,0.0263,0.761,0.881,0.104,0.557,120.011,241875
spotify:track:3l9lClq76p5PARSFPvaj1S,...og lengra - Orchestral Version,Old Current 2,Ólafur Arnalds,...og lengra (Orchestral Version),27,0.156,-18.906,0.0385,0.786,0.936,0.128,0.0359,128.515,228685
